Inn,Batter,Pitcher,Outs,Bases,Play,LI,RE,WE,WPA,RE24,topbot
? 1,S Kwan,L Gilbert,0,___,Steven Kwan struck out looking.,0.87,0.43,52.10%,-0.021,-0.21,Top
? 1,A Rosario,L Gilbert,1,___,Amed Rosario grounded out to second.,0.6,0.22,53.50%,-0.014,-0.14,Top
? 1,J Ramirez,L Gilbert,2,___,Jose Ramirez singled to left (Liner).,0.39,0.09,52.40%,0.012,0.11,Top
? 1,J Naylor,L Gilbert,2,1__,Josh Naylor grounded out to second.,0.8,0.2,54.50%,-0.021,-0.2,Top
? 1,J Rodriguez,S Bieber,0,___,Julio Rodriguez struck out looking.,0.87,0.43,52.40%,-0.021,-0.21,Bot
? 1,J Winker,S Bieber,1,___,Jesse Winker grounded out to first.,0.6,0.22,51.00%,-0.014,-0.14,Bot
? 1,M Haniger,S Bieber,2,___,Mitch Haniger reached on error to third (Grounder). Error by Tyler Freeman.,0.39,0.09,52.10%,0.012,0.11,Bot
? 1,E Suarez,S Bieber,2,1__,Eugenio Suarez struck out looking.,0.8,0.2,50.00%,-0.021,-0.2,Bot
? 2,A Gimenez,L Gilbert,0,___,Andres Gimenez grounded out to first.,0.93,0.43,52.20%,-0.022,-0.21,Top
? 2,O Gonzalez,L Gilbert,1,___,Oscar Gonzalez flied out to center.,0.63,0.22,53.80%,-0.015,-0.14,Top
? 2,T Freeman,L Gilbert,2,___,Tyler Freeman grounded out to shortstop.,0.41,0.09,54.80%,-0.01,-0.09,Top
? 2,C Santana,S Bieber,0,___,Carlos Santana struck out swinging.,0.92,0.43,52.60%,-0.022,-0.21,Bot
? 2,A Frazier,S Bieber,1,___,Adam Frazier grounded out to second.,0.64,0.22,51.00%,-0.015,-0.14,Bot
? 2,C Raleigh,S Bieber,2,___,Cal Raleigh flied out to second.,0.42,0.09,50.00%,-0.01,-0.09,Bot
? 3,A Hedges,L Gilbert,0,___,Austin Hedges doubled to center (Fly).,0.99,0.43,42.70%,0.073,0.61,Top
? 3,M Straw,L Gilbert,0,_2_,Myles Straw flied out to right. Austin Hedges advanced to 3B.,1.48,1.04,44.00%,-0.012,-0.15,Top
? 3,S Kwan,L Gilbert,1,__3,Steven Kwan hit a sacrifice fly to center (Fly). Austin Hedges scored.,1.74,0.89,40.70%,0.032,0.2,Top
? 3,A Rosario,L Gilbert,2,___,Amed Rosario doubled to center (Liner).,0.39,0.09,38.50%,0.022,0.21,Top
? 3,J Ramirez,L Gilbert,2,_2_,Jose Ramirez flied out to left.,1.16,0.29,41.70%,-0.031,-0.29,Top
? 3,J Crawford,S Bieber,0,___,J.P. Crawford singled to right (Liner).,1.09,0.43,46.30%,0.046,0.36,Bot
? 3,S Haggerty,S Bieber,0,1__,Sam Haggerty struck out swinging.,1.92,0.79,38.80%,-0.076,-0.59,Bot
? 3,J Rodriguez,S Bieber,2,___,Julio Rodriguez struck out swinging.,0.48,0.09,36.10%,-0.012,-0.09,Bot
? 4,J Naylor,L Gilbert,0,___,Josh Naylor singled to right (Grounder).,0.86,0.43,32.50%,0.035,0.36,Top
? 4,A Gimenez,L Gilbert,0,1__,Andres Gimenez struck out swinging.,1.46,0.79,35.80%,-0.032,-0.33,Top
? 4,O Gonzalez,L Gilbert,1,1__,Oscar Gonzalez grounded into a double play to second (Grounder). Josh Naylor out at second.,1.16,0.46,40.60%,-0.048,-0.46,Top
? 4,J Winker,S Bieber,0,___,Jesse Winker singled to first (Liner).,1.21,0.43,45.70%,0.051,0.36,Bot
? 4,M Haniger,S Bieber,0,1__,Mitch Haniger grounded into a double play to shortstop (Grounder). Jesse Winker out at second.,2.11,0.79,35.70%,-0.1,-0.71,Bot
? 4,E Suarez,S Bieber,2,___,Eugenio Suarez struck out looking.,0.54,0.09,34.40%,-0.013,-0.09,Bot
? 5,T Freeman,L Gilbert,0,___,Tyler Freeman flied out to center.,0.89,0.43,36.50%,-0.022,-0.21,Top
? 5,A Hedges,L Gilbert,1,___,Austin Hedges grounded out to second.,0.63,0.22,38.00%,-0.015,-0.14,Top
? 5,M Straw,L Gilbert,2,___,Myles Straw lined out to second.,0.43,0.09,39.00%,-0.01,-0.09,Top
? 5,C Santana,S Bieber,0,___,Carlos Santana singled to center (Grounder).,1.37,0.43,44.80%,0.058,0.36,Bot
? 5,A Frazier,S Bieber,0,1__,Adam Frazier reached on a sacrifice with error to third (Bunt Fly). Carlos Santana advanced to 2B on error. Error by Tyler Freeman.,2.36,0.79,53.70%,0.088,0.6,Bot
? 5,C Raleigh,S Bieber,0,12_,Cal Raleigh fouled out to left. Carlos Santana advanced to 3B. Adam Frazier advanced to 2B.,3.11,1.39,53.60%,-0.001,-0.06,Bot
? 5,J Crawford,S Bieber,1,_23,J.P. Crawford hit a sacrifice fly to center (Fly). Carlos Santana scored.,2.56,1.33,54.60%,0.01,-0.03,Bot
? 5,S Haggerty,S Bieber,2,_2_,Sam Haggerty struck out looking.,1.7,0.29,50.00%,-0.046,-0.29,Bot
? 6,S Kwan,L Gilbert,0,___,Steven Kwan singled to left (Liner).,1.34,0.43,44.60%,0.054,0.36,Top
? 6,A Rosario,L Gilbert,0,1__,Amed Rosario singled to left (Grounder). Steven Kwan advanced to 2B.,2.25,0.79,36.50%,0.081,0.6,Top
? 6,J Ramirez,L Gilbert,0,12_,Jose Ramirez flied out to right. Steven Kwan advanced to 3B.,2.81,1.39,38.90%,-0.025,-0.27,Top
