"","value","gmLI_pLI_diff","inLI_pLI_diff","inLI_exLI_diff"
"1","112526","0.130270208398567","0.0751872538531121","0.225295833333333"
"2","115629","0.130797001763669","0.135288776655443","-0.350382034632035"
"3","116338","0.0702477932547578","-0.0014031258675955","NaN"
"4","120074","0.0436802518925739","-0.001653146135004","NaN"
"5","121347","0.0319250337555456","-0.00325648877821205","NaN"
"6","133380","-0.0111353029551413","-0.00236799031018764","NaN"
"7","134181","-0.0574061895551257","-0.00316830789655442","NaN"
"8","136600","-0.13294","0.1430225","0.3117625"
"9","136860","0.154403440204284","-0.00187290187965905","NaN"
"10","150029","0.133473857623858","-0.00280615202166912","NaN"
"11","150116","-0.0426181250000001","0.0707860416666667","-0.0485333333333333"
"12","150212","-0.00266094956253227","-0.00542413059701508","NaN"
"13","150229","0.0253881534742708","0","NaN"
"14","150274","0","0","-1.6703"
"15","150302","-0.213543333333333","0.0509833333333334","-0.150583333333333"
"16","150359","0.156091552936311","0.0849364247311828","0.345183333333333"
"17","217096","0.0937222222222223","0.0769763888888889","0.0769208333333333"
"18","217100","0.169069705469846","0","NaN"
"19","218596","0.165676325088339","0.093744506906521","0.644226515151515"
"20","234194","-0.206577556818182","-0.102351041666667","-0.253946212121212"
"21","276351","0.106255917874396","0.106255917874396","-1.51982777777778"
"22","276514","0.149513818181818","0.0670166153846155","-0.332851748251748"
"23","276519","0.0712092046605876","-0.00162486199846668","NaN"
"24","276542","-0.0376880656008496","-0.0376880656008496","-0.00813731343283597"
"25","279571","0.00886422893481709","-0.00698745173745174","-0.163575210084034"
"26","279824","0.0947980279126214","0.113751827795251","-0.0537399501173709"
"27","282332","0.237018661820269","0.1735475387226","0.28675991138509"
"28","285064","-0.0628938871473355","0.00661241395896561","-0.172160365560366"
"29","285078","-0.029228","-0.00655826815642468","NaN"
"30","285079","0.0356997329224448","0.0450962020782889","0.278035863095238"
"31","329092","-0.300044234900931","-0.243567389830508","-0.131679492957747"
"32","346793","-0.401368817838603","-0.311768879873342","0.0487057071960297"
"33","346797","-0.107995238095238","-0.162519047619048","0.173442857142857"
"34","346798","-0.0538965362762238","0.0359515596872186","0.0153984078137543"
"35","346847","-0.306211350083097","-0.219639274611399","-0.338563773584906"
"36","346874","-0.0104263097072421","-0.00266150172612201","NaN"
"37","400085","0.101998612440191","-0.00927523510971784","-1.05476068965517"
"38","400089","-0.445337333333333","-0.445337333333333","-1.18678333333333"
"39","400121","-0.0145800859106529","0","NaN"
"40","400284","0.0963820801641648","0","NaN"
"41","405395","0.161257311247475","-0.00312890001491772","NaN"
"42","407781","0.138766059422514","-0.00195226189226094","NaN"
"43","407793","0.13056698014629","0.0861334281312951","0.228457357075914"
"44","407812","0.169331796820318","0.00189456966391277","NaN"
"45","407819","-0.0785821428571427","-0.0894092933947772","-0.194117150537634"
"46","407822","0.184671133903134","0.0987493898056472","0.0735590251332826"
"47","407845","0.411276417498407","0.4125557452295","-0.597836848739496"
"48","407862","-0.112886029411765","0","NaN"
"49","407890","0.0764794372294372","0.0585689368770764","0.183171317829457"
"50","407893","-0.0199148511555034","-0.00454129200683506","NaN"
"51","407908","-0.184693368107303","-0.136197053610988","-0.0833158067158066"
"52","408042","2.25825","0","NaN"
"53","408045","0.130053751369378","-0.00138674012510664","NaN"
"54","408047","-0.152886388888889","0","NaN"
"55","408061","0.0280988006230529","0.0280988006230529","-1.40954833333333"
"56","408234","0.155131442439451","0","NaN"
"57","408236","0.187739982809182","0","NaN"
"58","408241","0.122760650599805","0.0379665547833412","0.176400641025641"
"59","408242","0.392135714285714","0","NaN"
"60","408252","0.113778530240338","-0.000440850518887537","NaN"
"61","408299","0.0877030127504553","0","NaN"
"62","408307","0.0901584404251943","0","NaN"
"63","408314","0.116560591133005","-0.00255316842690378","NaN"
"64","421685","0.130606620344396","0.0634984954368927","0.0328815302649104"
"65","424144","-0.295758650793651","-0.24397076652602","0.0591107414104883"
"66","424325","-0.219304010695187","-0.0291224980901452","-1.10032142857143"
"67","424825","0.0566805006587616","0","NaN"
"68","425386","0.165777477477478","0.0894441441441441","0.24561"
"69","425492","-0.026408193277311","0.00886057142857144","-0.306285647058824"
"70","425496","-0.214414222222222","0","NaN"
"71","425509","0.186126848320638","-0.00175905541720112","NaN"
"72","425532","-0.0330021227768216","0.0803278979271121","0.0601966873706005"
"73","425543","-0.134229305555556","-0.0607022222222222","-0.913866666666667"
"74","425549","0.0498048653755314","0.0161240312513091","NaN"
"75","425557","-0.21985608974359","0","NaN"
"76","425560","0.00715417529330553","-0.00661372153209117","-1.10680916666667"
"77","425567","-0.0112540947723833","-0.00206695191524042","NaN"
"78","425626","0.0895934032634033","0.0959214781297134","-0.155699197860963"
"79","425657","-0.325187943071966","-0.300422881152461","-0.322444148606811"
"80","425664","-0.029577041349455","0","NaN"
"81","425766","-0.0106164551942902","0","NaN"
"82","425772","0.225270623238334","0","NaN"
"83","425783","0.0669573024063868","-0.00279873423147725","NaN"
"84","425784","-0.0515698935410782","0","NaN"
"85","425786","-0.190547026486757","-0.169044518125553","-0.394514882943144"
"86","425794","0.392497478991597","0.0547369526758072","-0.0907748120300751"
"87","425796","-0.110263628815629","-0.0325973506493507","-1.26826363636364"
"88","425834","-0.0930345640756303","0","NaN"
"89","425835","-0.171979473684211","-0.192557655502392","0.333421818181818"
"90","425840","-0.225861554621849","-0.166729235880399","-0.104639740082079"
"91","425844","0.261445184145674","0.0866189568354427","0.257842522689769"
"92","425856","-0.00781402597402597","0.000328831168831173","-0.0706285714285714"
"93","425877","0.130351473063973","0","NaN"
"94","425900","0.00594924486508264","-0.00548069440617249","NaN"
"95","425902","0.0403668249710643","-0.0013770059827185","NaN"
"96","429400","-0.190552291666667","-0.0622572916666666","-0.19521"
"97","429664","0.130697923697583","0","NaN"
"98","429665","-0.0743089371980676","-1.8174569673679e-06","NaN"
"99","429666","0.0903208344455168","-0.00239952571089397","NaN"
"100","429667","-0.0297684147132402","-0.00219673481721827","NaN"
"101","429711","-0.146830711086226","0","NaN"
"102","429713","0.12292538396802","0","NaN"
"103","429717","0.0645830259112868","0.0505987624270233","0.292518388030888"
"104","429719","-0.269396328375071","-0.0396026146419951","-0.0380020309477755"
"105","429722","0.212262598577893","0.0764181425653991","0.354649661634565"
"106","429780","-0.12814640625","-0.142357103924419","-0.0530706976744186"
"107","429781","0.104739166666667","0.164984166666667","0.281545"
"108","429783","0.145700989081567","0.115705025362746","-0.185155963718821"
"109","430001","-0.0762539965497413","0","NaN"
"110","430203","-0.0218237573665099","0","NaN"
"111","430321","-0.075965125324114","0","NaN"
"112","430404","-0.0806889572989076","-0.0186080261248185","-0.992565384615385"
"113","430580","0.163739721926819","0.0796184667367836","0.461533583519642"
"114","430589","-0.03172907960199","-0.0378650319829426","-0.399444285714286"
"115","430599","0.0916415318230852","-0.00751105215624304","-0.150730361757106"
"116","430603","0","0","NaN"
"117","430605","-0.0700299264705884","-0.0158165496049165","-1.07442537313433"
"118","430611","-0.0793731829573936","0","NaN"
"119","430613","0.0496536036036036","0.11382027027027","-0.15935"
"120","430630","-0.106856149193548","-0.00726344086021513","-0.0490760416666667"
"121","430637","-0.0659737921268762","-0.00305271437782073","NaN"
"122","430641","-0.0681189616755793","0.0265742637044604","-0.0899582452081957"
"123","430652","0.0864553330879647","0","NaN"
"124","430661","0.10880695970696","0.109260769230769","-0.23234619047619"
"125","430681","-0.207058571428571","0","NaN"
"126","430832","0.0740286164264903","0.00059080848280002","NaN"
"127","430897","-0.251377600979192","0","NaN"
"128","430910","-0.00511269342730203","-0.00255264989894455","NaN"
"129","430911","-0.369744389204545","-0.202406916920732","-0.302941315594974"
