half_inning,Batter,Pitcher,Outs,Bases,Play,LI,RE,WE,WPA,RE24
Top_1,J Winker,J Urquidy,0,___,Jesse Winker walked.,0.87,0.47,46.40%,0.036,0.37
Top_1,T France,J Urquidy,0,1__,Ty France fouled out to catcher.,1.47,0.84,49.70%,-0.033,-0.34
Top_1,J Rodriguez,J Urquidy,1,1__,Julio Rodriguez struck out swinging.,1.16,0.49,52.50%,-0.027,-0.28
Top_1,J Crawford,J Urquidy,2,1__,J.P. Crawford struck out swinging.,0.8,0.22,54.70%,-0.022,-0.22
Bot_1,J Altuve,L Gilbert,0,___,Jose Altuve walked.,0.87,0.47,58.20%,0.036,0.37
Bot_1,M Brantley,L Gilbert,0,_2_,Michael Brantley flied out to center. Jose Altuve advanced to 3B.,1.24,1.07,59.50%,-0.013,-0.16
Bot_1,A Bregman,L Gilbert,1,__3,Alex Bregman reached on fielder's choice to third. Jose Altuve out at home. Alex Bregman advanced to 2B.,1.41,0.91,53.20%,-0.063,-0.6
Bot_1,Y Alvarez,L Gilbert,2,_2_,Yordan Alvarez singled to center (Liner). Alex Bregman scored.,1.16,0.31,62.90%,0.097,0.91
Bot_1,K Tucker,L Gilbert,2,1__,Kyle Tucker grounded out to second.,0.69,0.22,61.00%,-0.019,-0.22
Top_2,E Suarez,J Urquidy,0,___,Eugenio Suarez grounded out to third.,0.97,0.47,63.40%,-0.024,-0.22
Top_2,A Frazier,J Urquidy,1,___,Adam Frazier struck out swinging.,0.67,0.25,65.00%,-0.016,-0.15
Top_2,A Toro,J Urquidy,2,___,Abraham Toro doubled to right (Liner).,0.41,0.1,62.70%,0.024,0.21
Top_2,T Trammell,J Urquidy,2,_2_,Taylor Trammell flied out to right.,1.23,0.31,66.10%,-0.034,-0.31
Bot_2,Y Gurriel,L Gilbert,0,___,Yuli Gurriel doubled to right (Liner).,0.76,0.47,71.60%,0.055,0.6
Bot_2,A Diaz,L Gilbert,0,_2_,Aledmys Diaz struck out swinging.,1.07,1.07,67.90%,-0.037,-0.42
Bot_2,J Siri,L Gilbert,1,_2_,Jose Siri grounded out to shortstop.,1.1,0.65,64.90%,-0.03,-0.34
Bot_2,M Maldonado,L Gilbert,2,_2_,Martin Maldonado flied out to center.,1.06,0.31,61.90%,-0.029,-0.31
Top_3,C Raleigh,J Urquidy,0,___,Cal Raleigh flied out to left.,1.04,0.47,64.50%,-0.026,-0.22
Top_3,J Winker,J Urquidy,1,___,Jesse Winker walked.,0.72,0.25,61.60%,0.03,0.25
Top_3,T France,J Urquidy,1,1__,Ty France flied out to right.,1.4,0.49,64.90%,-0.033,-0.28
Top_3,J Rodriguez,J Urquidy,2,_2_,Julio Rodriguez walked.,1.34,0.31,62.50%,0.012,0.11
Top_3,J Crawford,J Urquidy,2,12_,J.P. Crawford singled to left (Grounder). Jesse Winker scored. Julio Rodriguez advanced to 3B.,1.97,0.42,49.80%,0.127,1.06
Top_3,E Suarez,J Urquidy,2,_23,Eugenio Suarez walked.,2.28,0.57,47.20%,0.016,0.17
