"game_pk","game_date","batting_team","fielding_team","half_inning","inning_pa","score","score_diff","batter","pitcher","play","re_year","li","events","rbi","re24","delta_win_exp"
662760,"2022-06-08","SEA","HOU","Top_1",1,"0-0",0,608385,664353,"0:___",0.478,1.1439,"walk",0,0.323,0.036
662760,"2022-06-08","SEA","HOU","Top_1",2,"0-0",0,664034,664353,"0:1__",0.872,1.8774,"field_out",0,-0.308,-0.033
662760,"2022-06-08","SEA","HOU","Top_1",3,"0-0",0,677594,664353,"1:1__",0.513,1.5735,"strikeout",0,-0.251,-0.028
662760,"2022-06-08","SEA","HOU","Top_1",4,"0-0",0,641487,664353,"2:1__",0.205,1.1976,"strikeout",0,-0.201,-0.022
662760,"2022-06-08","HOU","SEA","Bot_1",1,"0-0",0,514888,669302,"0:___",0.478,1.1439,"walk",0,0.667,0.036
662760,"2022-06-08","HOU","SEA","Bot_1",2,"0-0",0,488726,669302,"0:_2_",1.102,1.7578,"field_out",0,-0.155,-0.01
662760,"2022-06-08","HOU","SEA","Bot_1",3,"0-0",0,608324,669302,"1:__3",0.985,2.1844,"fielders_choice_out",0,-0.616,-0.064
662760,"2022-06-08","HOU","SEA","Bot_1",4,"0-0",0,670541,669302,"2:_2_",0.307,1.8207,"single",1,0.868,0.095
662760,"2022-06-08","HOU","SEA","Bot_1",5,"0-1",1,663656,669302,"2:1__",0.205,0.8663,"field_out",0,-0.201,-0.02
662760,"2022-06-08","SEA","HOU","Top_2",1,"1-0",-1,553993,664353,"0:___",0.478,1.5502,"field_out",0,-0.19,-0.024
662760,"2022-06-08","SEA","HOU","Top_2",2,"1-0",-1,624428,664353,"1:___",0.255,1.1834,"strikeout",0,-0.123,-0.017
662760,"2022-06-08","SEA","HOU","Top_2",3,"1-0",-1,647351,664353,"2:___",0.097,0.7812,"double",0,0.209,0.024
662760,"2022-06-08","SEA","HOU","Top_2",4,"1-0",-1,666211,664353,"2:_2_",0.307,2.3384,"field_out",0,-0.333,-0.035
662760,"2022-06-08","HOU","SEA","Bot_2",1,"0-1",1,493329,669302,"0:___",0.478,0.8278,"double",0,0.667,0.054
662760,"2022-06-08","HOU","SEA","Bot_2",2,"0-1",1,649557,669302,"0:_2_",1.102,1.1094,"strikeout",0,-0.56,-0.037
662760,"2022-06-08","HOU","SEA","Bot_2",3,"0-1",1,642350,669302,"1:_2_",0.669,1.2553,"field_out",0,-0.211,-0.03
662760,"2022-06-08","HOU","SEA","Bot_2",4,"0-1",1,455117,669302,"2:_2_",0.307,1.2401,"field_out",0,-0.333,-0.03
662760,"2022-06-08","SEA","HOU","Top_3",1,"1-0",-1,663728,664353,"0:___",0.478,1.5502,"field_out",0,-0.19,-0.026
662760,"2022-06-08","SEA","HOU","Top_3",2,"1-0",-1,608385,664353,"1:___",0.255,1.1834,"walk",0,0.205,0.029
662760,"2022-06-08","SEA","HOU","Top_3",3,"1-0",-1,664034,664353,"1:1__",0.513,2.1793,"field_out",0,-0.119,-0.033
662760,"2022-06-08","SEA","HOU","Top_3",4,"1-0",-1,677594,664353,"2:_2_",0.307,2.3384,"walk",0,0.062,0.012
662760,"2022-06-08","SEA","HOU","Top_3",5,"1-0",-1,641487,664353,"2:12_",0.444,3.2553,"single",1,0.869,0.123
662760,"2022-06-08","SEA","HOU","Top_3",6,"1-1",0,553993,664353,"2:_23",0.551,3.0355,"walk",0,0.666,0.016
662760,"2022-06-08","SEA","HOU","Top_3",7,"1-1",0,624428,664353,"2:123",0.787,4.1712,"field_out",0,-0.93,-0.081
662760,"2022-06-08","HOU","SEA","Bot_3",1,"1-1",0,514888,669302,"0:___",0.478,1.1439,"double",0,0.667,0.069
662760,"2022-06-08","HOU","SEA","Bot_3",2,"1-1",0,488726,669302,"0:_2_",1.102,1.7578,"field_out",0,-0.56,-0.047
662760,"2022-06-08","HOU","SEA","Bot_3",3,"1-1",0,608324,669302,"1:_2_",0.669,1.8409,"single",0,-0.211,-0.038
662760,"2022-06-08","HOU","SEA","Bot_3",4,"1-1",0,670541,669302,"2:_2_",0.307,1.8207,"double",1,1,0.122
662760,"2022-06-08","HOU","SEA","Bot_3",5,"1-2",1,663656,669302,"2:_2_",0.307,1.2401,"single",1,0.868,0.094
662760,"2022-06-08","HOU","SEA","Bot_3",6,"1-3",2,493329,669302,"2:1__",0.205,0.5856,"field_out",0,-0.201,-0.016
662760,"2022-06-08","SEA","HOU","Top_4",1,"3-1",-2,647351,664353,"0:___",0.478,1.2847,"single",0,0.323,0.044
662760,"2022-06-08","SEA","HOU","Top_4",2,"3-1",-2,666211,664353,"0:1__",0.872,2.3445,"field_out",0,-0.308,-0.041
662760,"2022-06-08","SEA","HOU","Top_4",3,"3-1",-2,663728,664353,"1:1__",0.513,1.8399,"home_run",2,1.795,0.208
662760,"2022-06-08","SEA","HOU","Top_4",4,"3-3",0,608385,664353,"1:___",0.255,0.8663,"field_out",0,-0.123,-0.019
662760,"2022-06-08","SEA","HOU","Top_4",5,"3-3",0,664034,664353,"2:___",0.097,0.5968,"home_run",1,1,0.136
662760,"2022-06-08","SEA","HOU","Top_4",6,"3-4",1,677594,664353,"2:___",0.097,0.4235,"field_out",0,-0.124,-0.011
662760,"2022-06-08","HOU","SEA","Bot_4",1,"4-3",-1,649557,669302,"0:___",0.478,1.5502,"field_out",0,-0.19,-0.03
662760,"2022-06-08","HOU","SEA","Bot_4",2,"4-3",-1,642350,669302,"1:___",0.255,1.1834,"strikeout",0,-0.123,-0.022
662760,"2022-06-08","HOU","SEA","Bot_4",3,"4-3",-1,455117,669302,"2:___",0.097,0.7812,"walk",0,0.077,0.018
662760,"2022-06-08","HOU","SEA","Bot_4",4,"4-3",-1,514888,669302,"2:1__",0.205,1.6261,"field_out",0,-0.201,-0.031
662760,"2022-06-08","SEA","HOU","Top_5",1,"3-4",1,641487,664353,"0:___",0.478,0.8278,"double",0,0.667,0.066
662760,"2022-06-08","SEA","HOU","Top_5",2,"3-4",1,553993,664353,"0:_2_",1.102,1.1094,"single",0,0.271,0.062
662760,"2022-06-08","SEA","HOU","Top_5",3,"3-4",1,624428,664353,"0:1_3",1.772,1.3141,"sac_fly",1,0.077,-0.01
662760,"2022-06-08","SEA","HOU","Top_5",4,"3-5",2,647351,656232,"1:1__",0.513,0.7548,"field_out",0,-0.251,-0.021
662760,"2022-06-08","SEA","HOU","Top_5",5,"3-5",2,666211,656232,"2:1__",0.205,0.5856,"field_out",0,-0.201,-0.018
662760,"2022-06-08","HOU","SEA","Bot_5",1,"5-3",-2,488726,669302,"0:___",0.478,1.2847,"field_out",0,-0.19,-0.031
662760,"2022-06-08","HOU","SEA","Bot_5",2,"5-3",-2,608324,669302,"1:___",0.255,0.9088,"field_out",0,-0.123,-0.021
662760,"2022-06-08","HOU","SEA","Bot_5",3,"5-3",-2,670541,669302,"2:___",0.097,0.5431,"single",0,0.077,0.018
662760,"2022-06-08","SEA","HOU","Top_6",1,"3-5",2,663728,656232,"0:___",0.478,0.5319,"field_out",0,-0.19,-0.017
662760,"2022-06-08","SEA","HOU","Top_6",2,"3-5",2,608385,656232,"1:___",0.255,0.4195,"field_out",0,-0.123,-0.012
662760,"2022-06-08","SEA","HOU","Top_6",3,"3-5",2,664034,656232,"2:___",0.097,0.2766,"walk",0,0.077,0.01
662760,"2022-06-08","SEA","HOU","Top_6",4,"3-5",2,677594,656232,"2:1__",0.205,0.5856,"hit_by_pitch",0,0.194,0.014
662760,"2022-06-08","SEA","HOU","Top_6",5,"3-5",2,641487,656232,"2:12_",0.444,1.1388,"field_out",0,-0.395,-0.032
662760,"2022-06-08","HOU","SEA","Bot_6",1,"5-3",-2,663656,669302,"0:___",0.478,1.2847,"walk",0,0.323,0.059
662760,"2022-06-08","HOU","SEA","Bot_6",2,"5-3",-2,493329,669302,"0:1__",0.872,2.3445,"strikeout",0,-0.308,-0.053
662760,"2022-06-08","HOU","SEA","Bot_6",3,"5-3",-2,649557,669302,"1:1__",0.513,1.8399,"field_out",0,-0.251,-0.044
662760,"2022-06-08","HOU","SEA","Bot_6",4,"5-3",-2,642350,669302,"2:1__",0.205,1.2604,"field_out",0,-0.201,-0.034
662760,"2022-06-08","SEA","HOU","Top_7",1,"3-5",2,553993,656232,"0:___",0.478,0.5319,"strikeout",0,-0.19,-0.014
662760,"2022-06-08","SEA","HOU","Top_7",2,"3-5",2,624428,656232,"1:___",0.255,0.4195,"field_out",0,-0.123,-0.011
662760,"2022-06-08","SEA","HOU","Top_7",3,"3-5",2,647351,656232,"2:___",0.097,0.2766,"field_out",0,-0.124,-0.008
662760,"2022-06-08","HOU","SEA","Bot_7",1,"5-3",-2,455117,662253,"0:___",0.478,1.2847,"field_out",0,-0.19,-0.038
662760,"2022-06-08","HOU","SEA","Bot_7",2,"5-3",-2,514888,662253,"1:___",0.255,0.9088,"strikeout",0,-0.123,-0.026
662760,"2022-06-08","HOU","SEA","Bot_7",3,"5-3",-2,488726,662253,"2:___",0.097,0.5431,"single",0,0.077,0.023
