PA,Inning,Batter,Pitcher,Outs,Bases,Score,Des,LI,RE,WE,WPA,RE24
1,? 1,M Semien,M Gonzales,0,___,0-0,Marcus Semien struck out swinging.,0.87,0.43,52.10%,-0.021,-0.21
2,? 1,N Lowe,M Gonzales,1,___,0-0,Nathaniel Lowe struck out looking.,0.6,0.22,53.50%,-0.014,-0.14
3,? 1,A Garcia,M Gonzales,2,___,0-0,Adolis Garcia struck out swinging.,0.39,0.09,54.50%,-0.01,-0.09
4,? 1,J Crawford,J Gray,0,___,0-0,J.P. Crawford flied out to center.,0.87,0.43,52.40%,-0.021,-0.21
5,? 1,T France,J Gray,1,___,0-0,Ty France grounded out to second.,0.6,0.22,51.00%,-0.014,-0.14
6,? 1,E Suarez,J Gray,2,___,0-0,Eugenio Suarez singled to right (Grounder).,0.39,0.09,52.10%,0.012,0.11
7,? 1,M Haniger,J Gray,2,1__,0-0,Mitch Haniger homered (Fly). Eugenio Suarez scored.,0.8,0.2,72.60%,0.205,1.89
8,? 1,C Raleigh,J Gray,2,___,2-0,Cal Raleigh walked.,0.26,0.09,73.40%,0.008,0.11
9,? 1,J Winker,J Gray,2,1__,2-0,Jesse Winker fouled out to third.,0.53,0.2,72.00%,-0.014,-0.2
10,? 2,J Jung,M Gonzales,0,___,2-0,Josh Jung lined out to second.,0.91,0.43,74.20%,-0.022,-0.21
11,? 2,M Mathias,M Gonzales,1,___,2-0,Mark Mathias singled to left (Grounder).,0.61,0.22,71.60%,0.026,0.24
12,? 2,B Thompson,M Gonzales,1,1__,2-0,Bubba Thompson grounded into a double play to shortstop (Grounder). Mark Mathias out at second.,1.22,0.46,76.50%,-0.049,-0.46
13,? 2,J Kelenic,J Gray,0,___,2-0,Jarred Kelenic struck out swinging.,0.57,0.43,75.10%,-0.014,-0.21
14,? 2,D Moore,J Gray,1,___,2-0,Dylan Moore struck out swinging.,0.41,0.22,74.20%,-0.01,-0.14
15,? 2,A Frazier,J Gray,2,___,2-0,Adam Frazier singled to second (Grounder).,0.27,0.09,75.00%,0.008,0.11
16,? 2,A Frazier,J Gray,2,1__,2-0,Adam Frazier was caught stealing.,0.54,0.2,73.50%,-0.015,-0.2
17,? 3,S Huff,M Gonzales,0,___,2-0,Sam Huff homered (Fly).,0.97,0.43,62.70%,0.109,1
18,? 3,K Plawecki,M Gonzales,0,___,2-1,Kevin Plawecki fouled out to catcher.,1.04,0.43,65.20%,-0.025,-0.2
19,? 3,J Smith,M Gonzales,1,___,2-1,Josh Smith singled to left (Grounder).,0.72,0.22,62.20%,0.03,0.24
20,? 3,M Semien,M Gonzales,1,1__,2-1,Marcus Semien homered (Fly). Josh Smith scored.,1.42,0.46,39.40%,0.229,1.76
21,? 3,N Lowe,M Gonzales,1,___,2-3,Nathaniel Lowe flied out to left.,0.59,0.22,40.70%,-0.014,-0.14
22,? 3,A Garcia,M Gonzales,2,___,2-3,Adolis Garcia homered (Fly).,0.39,0.09,29.10%,0.116,1
23,? 3,J Jung,M Gonzales,2,___,2-4,Josh Jung walked.,0.3,0.09,28.20%,0.009,0.11
24,? 3,M Mathias,M Gonzales,2,1__,2-4,Mark Mathias flied out to right.,0.6,0.2,29.80%,-0.016,-0.2
25,? 3,J Crawford,J Gray,0,___,2-4,J.P. Crawford struck out swinging.,1.04,0.43,27.30%,-0.025,-0.21
26,? 3,T France,J Gray,1,___,2-4,Ty France singled to right (Grounder).,0.7,0.22,30.30%,0.03,0.24
27,? 3,E Suarez,J Gray,1,1__,2-4,Eugenio Suarez lined out to third.,1.39,0.46,27.10%,-0.032,-0.26
28,? 3,M Haniger,J Gray,2,1__,2-4,Mitch Haniger homered (Fly). Ty France scored.,0.91,0.2,51.10%,0.24,1.89
29,? 3,C Raleigh,J Gray,2,___,4-4,Cal Raleigh flied out to second.,0.46,0.09,50.00%,-0.011,-0.09
30,? 4,B Thompson,M Gonzales,0,___,4-4,Bubba Thompson struck out swinging.,1.08,0.43,52.60%,-0.026,-0.21
31,? 4,S Huff,M Gonzales,1,___,4-4,Sam Huff flied out to left.,0.75,0.22,54.40%,-0.018,-0.14
